Brand_Name,Shoe Descripition,Discounted Price,Actual_price
Campus,Men Printed Sneakers,999,3099
Roadster,Men Colourblocked Sneakers,799,3995
HRX by Hrithik Roshan,Men Everyday Sneakers,974,3899
WROGN,Men Colourblocked Sneakers,1399,3499
HRX by Hrithik Roshan,Men Lace-Ups Sneakers,999,4999
HRX by Hrithik Roshan,Men Lightweight Sneakers,1119,3499
Sparx,Round Toe Lace-Ups Sneakers,1374,2499
WROGN,Men Perforations PU Sneakers,1619,3599
HRX by Hrithik Roshan,Men Sneakers,1162,4649
Roadster,Men moccasins Leather Loafers,998,4195
Roadster,Men Colourblocked Sneakers,683,3795
HRX by Hrithik Roshan,Men Everyday Sneakers,974,3899
Campus,Men Colourblocked Sneakers,1899,2499
HRX by Hrithik Roshan,Men Club Culture Shoes,958,3995
JQR,Men Lace-Ups Sneakers,1159,1599
Flying Machine,Lace-Ups PU Casual Sneakers,1799,3599
Flying Machine,Men Perforations Sneakers,1499,2999
Campus,Men Colourblocked Sneakers,1520,3799
Metro,Men Slip-On Sneakers,1369,2490
GULASS WICK,Men Casual Shoes,659,1999
Killer,Men Contrast Sole Loafers,663,3499
WROGN,Men Woven Design Sneakers,1187,3299
GULASS WICK,Men Casual Shoes,659,1999
Campus,Men Colourblocked Sneakers,1199,2599
Metro,Men Slip-On Sneakers,1369,2490
WROGN,Men Woven Design Sneakers,1187,3299
JQR,Men Round Toe Sneakers,949,1499
WROGN,Men Woven Design Sneakers,1187,3299
Bata,Men Lace-Ups Derbys,714,1099
IMPAKTO,Men Textured Slip-On Sneakers,992,1899
Provogue,Men Round Toe Loafers,1039,3999
El Paso,Men Colourblocked Sneakers,849,3995
HRX by Hrithik Roshan,Men Everyday Sneakers,1025,3799
NEEMANS,Men Textured Lace-Ups Sneakers,999,3699
JQR,Men RUMBA Sneakers,824,1499
yoho,Men Colourblocked Sneakers,1499,2768
HRX by Hrithik Roshan,Men Mid-Top Lace-Ups Sneakers,961,3699
Ozarro,Men Steel Toe Shoes,959,2499
ERGON,Men Leather Sneakers,1699,4499
Atom,Men Woven Design Sneakers,1367,3295
Mochi,Men Leather Loafers,1291,2690
Campus,Men Colourblocked PU Sneakers,1149,2499
FCUK,Men Mid-Top Sneakers,1159,3999
WROGN,Men Colourblocked Sneakers,1399,3499
San Frissco,Textured Horsebit Loafers,1549,6495
Ozarro,Men Steel Toe Shoes,984,2499
House of Pataudi,Men Embroidered Mojaris,1344,3499
Campus,Men Colourblocked PU Sneakers,1149,2599
Roadster,Men Colourblocked PU Sneakers,788,3999
FCUK,Men Everyday Sneakers,1159,3999
Hygear,Men Colourblocked Sneakers,1249,2999
Sparx,Men Sneakers,749,999
Provogue,Textured Lace-Ups Sneakers,999,3999
Liberty,Men Colourblocked Sneakers,949,2499
ASIAN,Men Colourblocked Sneakers,659,1499
Red Tape,Men Colourblocked Sneakers,1979,6599
yoho,Men LowTop Premium PU Sneakers,1352,3399
WROGN,Men Woven Design Sneakers,1187,3299
Mast & Harbour,Men Round Toe Loafers,609,2649
Campus,Men PU Sneakers,999,2299
Provogue,Men Round Toe Sneakers,1159,3999
Flying Machine,Men SAUL Colourblocked Sneaker,1574,3499
KASTAVA,Men Loafers,769,1999
Bewakoof,Men High-Top Sneakers,1599,5499
Roadster,Men Casual Sneakers,857,3299
Campus,Men Woven Design Slip-On Sneakers,1199,1999
Red Tape,Men Colourblocked PU Sneakers,2279,7599
FUNNY FIRE,Men Slip-On Loafers,906,1999
Styli,Men Canvas Espadrille,760,999
WROGN,Men Everyday Sneakers,1519,3799
Vellinto,Men HUSTLE Lightweight Mojaris,892,1999
Campus,Men Woven Design Slip-On Sneakers,1199,1999
Roadster,Men Lightweight Sneakers,683,3795
NEEMANS,Men Textured Sneakers,999,3699
yoho,Men FreeStep Slip-On Sneakers,1589,2999
Red Tape,Men Round Toe Sneakers,1859,6199
Roadster,Men Colourblocked Sneakers,830,3795
FUNNY FIRE,Men Square Toe Loafers,906,2999
AfroJack,Men Colourblocked Sneakers,1149,6995
House of Pataudi,Men Embellished Mojaris,1833,4295
Big Fox,Men Sneakers,1299,3495
Sparx,Men Textile Sneakers,951,1399
NEEMANS,Men Slip-On Knit Loafers,1649,2699
Cantabil,Men PU Sneakers,1439,3599
WROGN,Men Colourblocked Sneakers,1399,3499
Overstar,Men White Casual Shoes,944,999
Hygear,Men Textured Ohito Sneakers,997,3399
House of Pataudi,Men Casual Slip On Majoris,1169,2999
Mast & Harbour,Men Suede Loafers,949,2499
Campus,Men Colourblocked Sneakers,1483,3099
Sparx,Men Solid Lace-Ups Sneakers,1649,2999
AVANT,Men Waffle Max Sneaker,1029,1599
Hygear,Men Colourblocked PU Sneakers,1302,2999
Ozarro,Men Steel Toe Shoes,984,2499
Roadster,Men Colourblocked Casual Sneakers,998,3795
Styli,Men Mid-Top Casual Shoes,629,999
Red Tape,Men Colourblocked Sneakers,2039,6799
WROGN,Men Lace-Ups Sneakers,1679,4199
HRX by Hrithik Roshan,Men Textured Slip on Sneakers,702,3699
FCUK,Men Colourblocked Sneakers,1331,3599
FUNNY FIRE,Men Trekking Shoes,831,1999
JQR,Men Perforations Sneakers,939,1399
HRX by Hrithik Roshan,Men Gamescape Sneakers,1119,4799
Roadster,Men Textured PU Sneakers,1033,3299
Hygear,Men Lace-Ups Sneakers,1287,2999
Killer,Men Brand Logo Loafers,659,3299
WROGN,Men Textured Sneakers,1557,3799
Hygear,Textured Lace-Ups Sneakers,1302,2999
