Brand_Name,Shoe Descripition,Discounted Price,Actual_price
Campus,Men Colourblocked Sneakers,1899,2499
Flying Machine,Lace-Ups PU Casual Sneakers,1799,3599
Styli,Men Mid-Top Canvas Sneakers,749,999
Flying Machine,Men Perforations Sneakers,1499,2999
House of Pataudi,Men Handcrafted Slip-Ons,1785,2999
Sparx,Non-Marking Shoes,879,1099
Metro,Men Slip-On Sneakers,1369,2490
GULASS WICK,Men Casual Shoes,659,1999
Roadster,Men PU Sneakers,799,3999
WROGN,Men Woven Design Sneakers,1187,3299
Metro,Men Leather Loafers,1345,2690
Campus,Men Textured PU Slip-On Sneakers,889,1499
WROGN,Men Woven Design Sneakers,1187,3299
Bata,Men Lace-Ups Derbys,714,1099
Roadster,Casual Lace-Ups Sneakers,849,4495
GULASS WICK,Men Casual Shoes,659,1999
NEEMANS,Men Textured Lace-Ups Sneakers,999,3699
Styli,Men Textured Slip-On Sneakers,1177,2699
JQR,Men RUMBA Sneakers,824,1499
JQR,Men RUMBA Sneakers,824,1499
Campus,Round Toe Lace-Ups Sneakers,999,1749
HRX by Hrithik Roshan,Men Mid-Top Lace-Ups Sneakers,961,3699
Atom,Men Woven Design Sneakers,1367,3295
Campus,Men Slip-On Sneakers,1246,1499
Campus,Men Weekender Lace-Up Sneakers,1199,2599
Provogue,Men Round Toe Loafers,1039,3999
WALKWAY by Metro,Men Comfort Insole Derbys,1510,1699
Sparx,Basics Sneakers,674,899
FCUK,Men Mid-Top Sneakers,1159,3999
WALKWAY by Metro,Men Printed Sneakers,1777,1999
ASIAN,Men Lightweight Sneakers,734,1499
WROGN,Men Colourblocked Sneakers,1399,3499
Campus,Men Lace-Ups Sneakers,1305,2999
Ozarro,Men Steel Toe Shoes,959,2499
House of Pataudi,Men Embroidered Mojaris,1344,3499
HRX by Hrithik Roshan,Men Woven Design Sneakers,1052,3399
Roadster,Men Colourblocked PU Sneakers,788,3999
FCUK,Men Everyday Sneakers,1159,3999
NEEMANS,Men PU Sneakers,1779,3999
Roadster,Men Lightweight Sneakers,830,3795
Ozarro,Men Steel Toe Shoes,984,2499
HRX by Hrithik Roshan,Men Everyday Sneakers,890,3299
Sparx,Men Sneakers,749,999
ASIAN,Men Colourblocked Sneakers,659,1499
Killer,Men Sneakers,774,2499
Red Tape,Men Colourblocked Sneakers,1979,6599
WROGN,Men Woven Design Sneakers,1187,3299
IMPAKTO,Men Textured Slip-On Sneakers,992,1899
Provogue,Textured Lace-Ups Sneakers,999,3999
House of Pataudi,Men Lightweight Mojaris,1694,3499
HRX by Hrithik Roshan,Men Colourblocked Sneakers,1052,3399
Mast & Harbour,Men Round Toe Loafers,609,2649
Flying Machine,Men SAUL Colourblocked Sneaker,1574,3499
WALKWAY by Metro,Men Slip-On Sneakers,936,999
Roadster,Men Textured Sneakers,834,3795
Provogue,Men Round Toe Sneakers,1159,3999
WALKWAY by Metro,Men Solid Loafers,748,799
Bewakoof,Men High-Top Sneakers,1599,5499
Roadster,Men Casual Sneakers,857,3299
WALKWAY by Metro,Men Loafers,748,799
Red Tape,Men Colourblocked PU Sneakers,2279,7599
WROGN,Men Everyday Sneakers,1519,3799
HRX by Hrithik Roshan,Men Sneakers Casual Shoes,999,3999
FUNNY FIRE,Men Slip-On Loafers,906,1999
Vellinto,Men HUSTLE Lightweight Mojaris,892,1999
yoho,Men LowTop Premium PU Sneakers,1352,3399
Mochi,Men Striped Leather Sneakers,1748,2690
Flying Machine,Men PU Sneakers,1599,3199
Butello,Men Leather Sneakers,1637,4999
Roadster,Men Lightweight Sneakers,683,3795
NEEMANS,Men Textured Sneakers,999,3699
Roadster,Men Slip-On Sneakers,998,4495
House of Pataudi,Men Embroidered Mojaris Shoes,1449,3399
Red Tape,Men Round Toe Sneakers,1859,6199
JQR,Men Round Toe Regular Sneakers,1259,1799
AfroJack,Men Colourblocked Sneakers,1149,6995
U.S. Polo Assn.,Men Lanap Slip-On Sneakers,1759,3199
WALKWAY by Metro,Men Textured Loafers,654,699
House of Pataudi,Men Embellished Mojaris,1833,4295
NEEMANS,Men Slip-On Knit Loafers,1649,2699
Killer,Men Sneakers,774,2499
WROGN,Men Colourblocked Sneakers,1399,3499
Overstar,Men White Casual Shoes,944,999
Big Fox,Men Lightweight Suede Sneakers,1399,3999
House of Pataudi,Men Casual Slip On Majoris,1169,2999
Mast & Harbour,Men Suede Loafers,949,2499
HRX by Hrithik Roshan,Men Colourblocked Sneakers,1286,3899
Sparx,Men Solid Lace-Ups Sneakers,1649,2999
AVANT,Men Waffle Max Sneaker,1029,1599
HRX by Hrithik Roshan,Men Lightweight Sneakers,756,3999
Ozarro,Men Steel Toe Shoes,984,2499
Red Tape,Men Colourblocked Sneakers,2039,6799
HRX by Hrithik Roshan,Men Gamescape Sneakers,909,3699
WROGN,Men Lace-Ups Sneakers,1679,4199
FCUK,Men Colourblocked Sneakers,1331,3599
ROYAL KHWAAB,Men Printed Round Toe Fashion,757,3999
Killer,Men Brand Logo Loafers,659,3299
FUNNY FIRE,Men Trekking Shoes,831,1999
IMPAKTO,Men Air Bounce Running Shoes,1507,2999
WROGN,Men Textured Sneakers,1557,3799
Bata,Men Comfort Insole Sneakers,669,999
JQR,Men Colourblocked Sneakers,1469,1699
WROGN,Men Textured Lace-Ups Sneakers,1799,3999
Red Tape,Men Colourblocked Sneakers,2099,6999
JQR,Men Everyday Sneakers,1069,1699
Lee Cooper,Men Casual Shoes,1622,2999
Roadster,Men Lightweight Sneakers,821,3695
JQR,Men Round Toe Sneakers,1189,2899
House of Pataudi,Men Embroidered Mojaris,1794,3399
Red Tape,Men Slip Resistant Sneakers,2009,6699
Sparx,Men Lace-Ups Sneakers,1249,1399
Red Tape,Men Colourblocked Sneakers,2039,6799
FUNNY FIRE,Men Printed Trekking Shoes,831,1999
JQR,Men Colourblocked Sneakers,1359,1599
WROGN,Men Colourblocked Sneakers,1469,3499
ASIAN,Men Trekking Shoes,1449,3499
Hygear,Men Colourblocked Sneakers,1273,3199
WROGN,Men Woven Design Sneakers,1399,3499
FCUK,Men Mid-top Sneakers,1175,4199
